# ---------------------------------- WARNING ----------------------------------------						
# Some of the data that you have obtained from this U.S. Geological Survey database may not 						
# have received Director's approval.  Any such data values are qualified as provisional and 						
# are subject to revision.  Provisional data are released on the condition that neither the 						
# USGS nor the United States Government may be held liable for any damages resulting from its use.						
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.						
#						
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output						
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals						
#						
# Contact:   gs-w_support_nwisweb@usgs.gov						
# retrieved: 2024-12-02 03:09:35 -05:00 (nadww01)						
#						
# Data for the following 1 site(s) are contained in this file						
"#    USGS 14144700 COLUMBIA RIVER AT VANCOUVER, WA"						
# -----------------------------------------------------------------------------------						
#						
# TS_ID - An internal number representing a time series.						
#						
# Data provided for site 14144700						
#    TS_ID       Parameter Description						
"#    227828      72137     Discharge, tidally filtered, cubic feet per second"						
#						
# Data-value qualification codes included in this output:						
#     A  Approved for publication -- Processing and review completed.						
#     e  Value has been estimated.						
#						
agency_cd	site_no	datetime	tz_cd	227828_72137	227828_72137_cd	
USGS	14144700	1/1/2019	0:00	PST	132000	A
USGS	14144700	1/1/2019	1:00	PST	132000	A
USGS	14144700	1/1/2019	2:00	PST	132000	A
USGS	14144700	1/1/2019	3:00	PST	132000	A
USGS	14144700	1/1/2019	4:00	PST	132000	A
USGS	14144700	1/1/2019	5:00	PST	132000	A
USGS	14144700	1/1/2019	6:00	PST	132000	A
USGS	14144700	1/1/2019	7:00	PST	132000	A
USGS	14144700	1/1/2019	8:00	PST	132000	A
USGS	14144700	1/1/2019	9:00	PST	132000	A
USGS	14144700	1/1/2019	10:00	PST	132000	A
USGS	14144700	1/1/2019	11:00	PST	132000	A
USGS	14144700	1/1/2019	12:00	PST	132000	A
USGS	14144700	1/1/2019	13:00	PST	132000	A
USGS	14144700	1/1/2019	14:00	PST	133000	A
USGS	14144700	1/1/2019	15:00	PST	133000	A
USGS	14144700	1/1/2019	16:00	PST	133000	A
USGS	14144700	1/1/2019	17:00	PST	133000	A
USGS	14144700	1/1/2019	18:00	PST	133000	A
USGS	14144700	1/1/2019	19:00	PST	133000	A
USGS	14144700	1/1/2019	20:00	PST	133000	A
USGS	14144700	1/1/2019	21:00	PST	133000	A
USGS	14144700	1/1/2019	22:00	PST	133000	A
USGS	14144700	1/1/2019	23:00	PST	133000	A
USGS	14144700	1/2/2019	0:00	PST	133000	A
USGS	14144700	1/2/2019	1:00	PST	134000	A
USGS	14144700	1/2/2019	2:00	PST	134000	A
USGS	14144700	1/2/2019	3:00	PST	134000	A
USGS	14144700	1/2/2019	4:00	PST	133000	A
USGS	14144700	1/2/2019	5:00	PST	133000	A
USGS	14144700	1/2/2019	6:00	PST	133000	A
USGS	14144700	1/2/2019	7:00	PST	133000	A
USGS	14144700	1/2/2019	8:00	PST	133000	A
USGS	14144700	1/2/2019	9:00	PST	133000	A
USGS	14144700	1/2/2019	10:00	PST	133000	A
USGS	14144700	1/2/2019	11:00	PST	133000	A
USGS	14144700	1/2/2019	12:00	PST	133000	A
USGS	14144700	1/2/2019	13:00	PST	132000	A
USGS	14144700	1/2/2019	14:00	PST	132000	A
USGS	14144700	1/2/2019	15:00	PST	132000	A
USGS	14144700	1/2/2019	16:00	PST	132000	A
USGS	14144700	1/2/2019	17:00	PST	132000	A
USGS	14144700	1/2/2019	18:00	PST	132000	A
USGS	14144700	1/2/2019	19:00	PST	131000	A
USGS	14144700	1/2/2019	20:00	PST	131000	A
USGS	14144700	1/2/2019	21:00	PST	131000	A
USGS	14144700	1/2/2019	22:00	PST	131000	A
USGS	14144700	1/2/2019	23:00	PST	131000	A
USGS	14144700	1/3/2019	0:00	PST	131000	A
USGS	14144700	1/3/2019	1:00	PST	131000	A
USGS	14144700	1/3/2019	2:00	PST	130000	A
USGS	14144700	1/3/2019	3:00	PST	130000	A
USGS	14144700	1/3/2019	4:00	PST	130000	A
USGS	14144700	1/3/2019	5:00	PST	130000	A
USGS	14144700	1/3/2019	6:00	PST	130000	A
USGS	14144700	1/3/2019	7:00	PST	130000	A
USGS	14144700	1/3/2019	8:00	PST	130000	A
USGS	14144700	1/3/2019	9:00	PST	130000	A
USGS	14144700	1/3/2019	10:00	PST	130000	A
USGS	14144700	1/3/2019	11:00	PST	130000	A
USGS	14144700	1/3/2019	12:00	PST	130000	A
USGS	14144700	1/3/2019	13:00	PST	130000	A
USGS	14144700	1/3/2019	14:00	PST	130000	A
USGS	14144700	1/3/2019	15:00	PST	130000	A
USGS	14144700	1/3/2019	16:00	PST	130000	A
USGS	14144700	1/3/2019	17:00	PST	130000	A
USGS	14144700	1/3/2019	18:00	PST	130000	A
USGS	14144700	1/3/2019	19:00	PST	130000	A
USGS	14144700	1/3/2019	20:00	PST	129000	A
USGS	14144700	1/3/2019	21:00	PST	129000	A
USGS	14144700	1/3/2019	22:00	PST	129000	A
USGS	14144700	1/3/2019	23:00	PST	129000	A
USGS	14144700	1/4/2019	0:00	PST	129000	A
USGS	14144700	1/4/2019	1:00	PST	129000	A
USGS	14144700	1/4/2019	2:00	PST	129000	A
USGS	14144700	1/4/2019	3:00	PST	129000	A
USGS	14144700	1/4/2019	4:00	PST	129000	A
USGS	14144700	1/4/2019	5:00	PST	129000	A
USGS	14144700	1/4/2019	6:00	PST	129000	A
USGS	14144700	1/4/2019	7:00	PST	129000	A
USGS	14144700	1/4/2019	8:00	PST	129000	A
USGS	14144700	1/4/2019	9:00	PST	129000	A
USGS	14144700	1/4/2019	10:00	PST	129000	A
USGS	14144700	1/4/2019	11:00	PST	129000	A
USGS	14144700	1/4/2019	12:00	PST	129000	A
USGS	14144700	1/4/2019	13:00	PST	129000	A
USGS	14144700	1/4/2019	14:00	PST	130000	A
USGS	14144700	1/4/2019	15:00	PST	130000	A
USGS	14144700	1/4/2019	16:00	PST	130000	A
USGS	14144700	1/4/2019	17:00	PST	131000	A
USGS	14144700	1/4/2019	18:00	PST	131000	A
USGS	14144700	1/4/2019	19:00	PST	132000	A
USGS	14144700	1/4/2019	20:00	PST	133000	A
USGS	14144700	1/4/2019	21:00	PST	133000	A
USGS	14144700	1/4/2019	22:00	PST	134000	A
USGS	14144700	1/4/2019	23:00	PST	135000	A
USGS	14144700	1/5/2019	0:00	PST	135000	A
USGS	14144700	1/5/2019	1:00	PST	136000	A
USGS	14144700	1/5/2019	2:00	PST	137000	A
USGS	14144700	1/5/2019	3:00	PST	138000	A
USGS	14144700	1/5/2019	4:00	PST	139000	A
USGS	14144700	1/5/2019	5:00	PST	139000	A
USGS	14144700	1/5/2019	6:00	PST	140000	A
USGS	14144700	1/5/2019	7:00	PST	141000	A
USGS	14144700	1/5/2019	8:00	PST	142000	A
USGS	14144700	1/5/2019	9:00	PST	143000	A
USGS	14144700	1/5/2019	10:00	PST	144000	A
USGS	14144700	1/5/2019	11:00	PST	144000	A
USGS	14144700	1/5/2019	12:00	PST	145000	A
USGS	14144700	1/5/2019	13:00	PST	146000	A
USGS	14144700	1/5/2019	14:00	PST	147000	A
USGS	14144700	1/5/2019	15:00	PST	147000	A
USGS	14144700	1/5/2019	16:00	PST	148000	A
USGS	14144700	1/5/2019	17:00	PST	148000	A
USGS	14144700	1/5/2019	18:00	PST	148000	A
USGS	14144700	1/5/2019	19:00	PST	149000	A
USGS	14144700	1/5/2019	20:00	PST	149000	A
USGS	14144700	1/5/2019	21:00	PST	149000	A
USGS	14144700	1/5/2019	22:00	PST	149000	A
USGS	14144700	1/5/2019	23:00	PST	149000	A
USGS	14144700	1/6/2019	0:00	PST	149000	A
USGS	14144700	1/6/2019	1:00	PST	149000	A
USGS	14144700	1/6/2019	2:00	PST	149000	A
USGS	14144700	1/6/2019	3:00	PST	149000	A
USGS	14144700	1/6/2019	4:00	PST	148000	A
USGS	14144700	1/6/2019	5:00	PST	148000	A
USGS	14144700	1/6/2019	6:00	PST	147000	A
USGS	14144700	1/6/2019	7:00	PST	147000	A
USGS	14144700	1/6/2019	8:00	PST	147000	A
USGS	14144700	1/6/2019	9:00	PST	146000	A
USGS	14144700	1/6/2019	10:00	PST	146000	A
USGS	14144700	1/6/2019	11:00	PST	145000	A
USGS	14144700	1/6/2019	12:00	PST	144000	A
USGS	14144700	1/6/2019	13:00	PST	144000	A
USGS	14144700	1/6/2019	14:00	PST	143000	A
USGS	14144700	1/6/2019	15:00	PST	143000	A
USGS	14144700	1/6/2019	16:00	PST	142000	A
USGS	14144700	1/6/2019	17:00	PST	142000	A
USGS	14144700	1/6/2019	18:00	PST	141000	A
USGS	14144700	1/6/2019	19:00	PST	141000	A
USGS	14144700	1/6/2019	20:00	PST	141000	A
USGS	14144700	1/6/2019	21:00	PST	140000	A
